store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,longitude,latitude
st_038779,Dollar Tree 2647,A121521,3830,E Flamingo Rd,NA,Las Vegas,NV,89121,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-115.09053,36.11533
st_031091,DOLLAR TREE 2587,A121461,3824,Elm Rd NE,NA,Warren,OH,44483,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.78027,41.27112
st_048166,Dollar Tree 3160,A122038,3899,Gorsky Dr,NA,Zanesville,OH,43701,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-82.03522,39.9936
st_058633,Dollar Tree 782,A125775,3877,Holland Rd,NA,Virginia Beach,VA,23452,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.10902,36.81612
st_046351,Dollar Tree 2494,A121373,3890,Jeffco Blvd,NA,Arnold,MO,63010,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-90.37894,38.40659
st_046106,Dollar Tree 675,A125243,3821,Lapeer Rd,NA,Flint,MI,48503,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-83.63599,43.01015
st_044607,DOLLAR TREE 3504,A122276,381,Madison Ave,NA,Skowhegan,ME,4976,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-69.73244,44.78637
st_023509,Dollar Tree 3424,A122210,3873,N Mall Ave,NA,Fayetteville,AR,72703,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-94.14986,36.12224
st_035076,Dollar Tree 2450,A121328,3807,S Meridian,NA,Puyallup,WA,98373,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.29298,47.15589
st_034046,Dollar Tree 2987,A121864,3815,S Steele St,NA,Tacoma,WA,98409,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.46857,47.22229
st_018119,DOLLAR TREE 1423,A120366,3859,UNION RD,NA,CHEEKTOWAGA,NY,14225,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-78.75408,42.91964
st_041287,Dollar Tree 2652,A121526,389,W 1830 S,NA,Salt Lake City,UT,84115,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-111.90358,40.73034
st_064888,Dollar Tree 709,A125389,3857,W Broward Blvd,NA,Ft Lauderdale,FL,33312,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.2001,26.12115
st_064957,Dollar Tree 3662,A122441,380,Walmart Dr,NA,Camden,DE,19934,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-75.54495,39.10003
st_058843,Dollar Tree 531,A123974,3912,44th Avenue Dr,NA,Moline,IL,61265,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-90.48145,41.46894
st_060815,Dollar Tree 2644,A121518,3927,E Grant Rd,NA,Tucson,AZ,85712,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-110.90839,32.25067
st_061141,Dollar Tree 2992,A121867,3909,E Thomas Rd,NA,Phoenix,AZ,85018,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-111.99747,33.48039
st_063047,Dollar Tree 1997,A120896,3916,Kemp Blvd Ste A,NA,Wichita Falls,TX,76308,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-98.53466,33.87198
st_060713,Dollar Tree 2732,A121603,3978,Meadowdale Blvd,NA,Richmond,VA,23234,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.4673,37.43771
st_064972,DOLLAR TREE 2593,A121468,39,Mountain Mall Plz,NA,Monticello,NY,12701,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.67751,41.65167
st_015835,Dollar Tree 2250,A121131,39,N Lansdowne Ave,NA,Lansdowne,PA,19050,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-75.27242,39.93958
st_064947,DOLLAR TREE 2463,A121341,39,N Plank Rd,NA,Newburgh,NY,12550,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.02875,41.52285
st_018412,DOLLAR TREE 2561,A121435,3901,N Prince St,NA,Clovis,NM,88101,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-103.19637,34.43723
st_061133,Dollar Tree 2855,A121731,3930,N Stockton Hill Rd,NA,Kingman,AZ,86409,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-114.03751,35.23725
st_060460,Dollar Tree 739,A125644,393,Plainfield Commons Dr,NA,Plainfield,IN,46168,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-86.35238,39.71477
st_064894,Dollar Tree 974,A125905,3908,S Dale Mabry Hwy,NA,Tampa,FL,33611,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-82.50602,27.90634
st_065950,Dollar Tree 1230,A120192,398,S Main St,NA,Red Bluff,CA,96080,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.22814,40.16702
st_060315,Dollar Tree 554,A124197,3993,Tyrone Blvd N,NA,St Petersburg,FL,33709,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-82.7526,27.80837
st_044594,Dollar Tree 1953,A120849,395,W Esplanade Ave,NA,Kenner,LA,70065,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-90.26667,30.02261
st_019145,Dollar Tree 2326,A121203,40565,California Oaks Rd,NA,Murrieta,CA,92562,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.20247,33.57355
