store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,longitude,latitude
st_146839,DOLLAR GENERAL 3889,A045990,308,Blowing Rock Blvd,NA,Lenoir,NC,28645,Combination Grocery/Other,2,Small retail,4,Dollar General,-81.52451,35.91858
st_147394,DOLLAR GENERAL 2618,A112672,3050,Bremen Mt Zion Rd,NA,Bremen,GA,30110,Combination Grocery/Other,2,Small retail,4,Dollar General,-85.14536,33.69753
st_430607,DOLLAR GENERAL 2158,A112339,3053,Brick Church Pike,NA,Nashville,TN,37207,Combination Grocery/Other,2,Small retail,4,Dollar General,-86.78148,36.23225
st_008094,Dollar General 10025,A104270,300,Brighton Ave,NA,Rochester,PA,15074,Combination Grocery/Other,2,Small retail,4,Dollar General,-80.28577,40.702
st_144961,DOLLAR GENERAL 2804,A112821,3024,Calumet Ave,NA,Valparaiso,IN,46383,Combination Grocery/Other,2,Small retail,4,Dollar General,-87.04445,41.49606
st_147389,DOLLAR GENERAL 2060,A112272,3080,Cave Spring Rd SW,NA,Rome,GA,30161,Combination Grocery/Other,2,Small retail,4,Dollar General,-85.20908,34.17534
st_152891,DOLLAR GENERAL 9218,A117511,3037,Centennial Blvd,NA,Claremont,NC,28610,Combination Grocery/Other,2,Small retail,4,Dollar General,-81.15427,35.72173
st_029479,DOLLAR GENERAL 10443,A104658,304,Central Ave,NA,Butner,NC,27509,Combination Grocery/Other,2,Small retail,4,Dollar General,-78.75835,36.13403
st_005401,Dollar General 6352,A115080,3052,Charleston Rd,NA,Ripley,WV,25271,Combination Grocery/Other,2,Small retail,4,Dollar General,-81.69559,38.76781
st_036424,Dollar General 8906,A117246,304,Deacon Rd,NA,Fredericksburg,VA,22405,Combination Grocery/Other,2,Small retail,4,Dollar General,-77.43674,38.32842
st_144317,DOLLAR GENERAL 9232,A117524,3019,Dickerson Pike,NA,Nashville,TN,37207,Combination Grocery/Other,2,Small retail,4,Dollar General,-86.75982,36.22686
st_151080,Dollar General 3536,A113425,3001,Dudley Ave,NA,Parkersburg,WV,26104,Combination Grocery/Other,2,Small retail,4,Dollar General,-81.53662,39.28377
st_145841,DOLLAR GENERAL 7755,A116302,301,Duson Ave,NA,Iota,LA,70543,Combination Grocery/Other,2,Small retail,4,Dollar General,-92.49328,30.33043
st_014207,Dollar General 10228,A104457,302,E 5th St,NA,Canton,SD,57013,Combination Grocery/Other,2,Small retail,4,Dollar General,-96.59019,43.30088
st_004754,Dollar General #0014,A103742,304,E 5th St N,NA,Big Stone Gap,VA,24219,Combination Grocery/Other,2,Small retail,4,Dollar General,-82.7769,36.87011
st_021976,DOLLAR GENERAL 1672,A110302,30,E 6th St,NA,Franklin,OH,45005,Combination Grocery/Other,2,Small retail,4,Dollar General,-84.30506,39.55725
st_152343,DOLLAR GENERAL 0425,A103990,304,E Atkins St,NA,Dobson,NC,27017,Combination Grocery/Other,2,Small retail,4,Dollar General,-80.72028,36.39633
st_006383,Dollar General 0328,A103954,301,E Atlantic St,NA,South Hill,VA,23970,Combination Grocery/Other,2,Small retail,4,Dollar General,-78.125,36.72528
st_142722,DOLLAR GENERAL 4003,A113812,302,E Cano St,NA,Edinburg,TX,78539,Combination Grocery/Other,2,Small retail,4,Dollar General,-98.16027,26.29996
st_145821,DOLLAR GENERAL 7699,A116255,300,E Central Ave,NA,Nixon,TX,78140,Combination Grocery/Other,2,Small retail,4,Dollar General,-97.76232,29.26801
st_026121,DOLLAR GENERAL 10450,A104666,309,E Colorado St,NA,Rio Hondo,TX,78583,Combination Grocery/Other,2,Small retail,4,Dollar General,-97.57455,26.23423
st_147923,DOLLAR GENERAL 1986,A112207,3009,E Frank Phillips Blvd,NA,Bartlesville,OK,74006,Combination Grocery/Other,2,Small retail,4,Dollar General,-95.94425,36.7506
st_148471,DOLLAR GENERAL 0593,A104058,300,E Graham Ave,NA,Pryor,OK,74361,Combination Grocery/Other,2,Small retail,4,Dollar General,-95.31572,36.30741
st_008700,DOLLAR GENERAL 0236,A103913,307,E Greer St,NA,Honea Path,SC,29654,Combination Grocery/Other,2,Small retail,4,Dollar General,-82.38924,34.44592
st_142832,DOLLAR GENERAL 3488,A113386,307,E Hastings Ave,NA,Amarillo,TX,79108,Combination Grocery/Other,2,Small retail,4,Dollar General,-101.83067,35.25089
st_151336,DOLLAR GENERAL 8917,A117256,300,E Hill St,NA,Thomson,GA,30824,Combination Grocery/Other,2,Small retail,4,Dollar General,-82.49691,33.46368
st_150625,Dollar General 1485,A108815,309,E Holme St,NA,Norton,KS,67654,Combination Grocery/Other,2,Small retail,4,Dollar General,-99.88593,39.83862
st_004284,Dollar General 0398,A103983,30,E. Independence St.,NA,Shamokin,PA,17872,Combination Grocery/Other,2,Small retail,4,Dollar General,-76.5565,40.79141
st_149145,DOLLAR GENERAL 4043,A113841,307,E Main St,NA,Andrews,SC,29510,Combination Grocery/Other,2,Small retail,4,Dollar General,-79.55664,33.45022
st_008702,DOLLAR GENERAL 4439,A114173,303,E Main St,NA,Ninety Six,SC,29666,Combination Grocery/Other,2,Small retail,4,Dollar General,-82.0158,34.17666
